"Chores To Do","Extra Description","Housekeeper"
"","","",""
"sweep or vacuum & mop kitchen","including hall and area outside Daddy & Renee's door, under counters & in corners","Hazel",""
"sweep or vacuum & mop kids bathroom","","Hazel",""
"sweep or vacuum & mop area by garage door ","","Hazel",""
"clean kitchen garbage cans area","","Hazel",""
"empty/add new litter in cat litter box in storage closet","","Hazel",""
"sweep & leaf blow front porch ","","Hazel",""
"dust around living room desk area","take out trash","Hazel",""
"sweep or vacuum living room & mop","move Daisy's crate & sofas","Jesse",""
"clean, sweep & mop kitchen bathroom","take out trash","Jesse",""
"pick up living room","fold & put away blankets","Jesse",""
"dust windows and doors","","Jesse",""
"Sift cat litter box in Daddy & Renee's Room & add new litter if needed, shake out & clean mat and vacuum in front of litter box","DO NOT EMPTY OUT OLD LITTER","Jesse",""
"clean boys bathroom pickup towels","take out trash","Ray",""
"sweep & mop under bar stools & area between sofa & bar","","Ray",""
"wipe down counters & island in kitchen","","Ray",""
"wipe off bar","","Ray",""
"sweep or vacuum & mop pantry","","Ray",""
"sweep & leaf blow back porch on both sides of gate","","Ruby",""
"clean & wipe down stove & counters by stove","","Ruby",""
"clean microwave with spray cleaner & clorox wipes","","Ruby",""
"dust in the entry way and dinning room including desk area","empty trash can next to desk","Ruby",""
"dust fireplace & mantel","","Ruby",""
"empty cat litter box in dinning room and add new litter shake out mat and sweep in front of litter box ","","Ruby",""
"shake out mat under storage closet cat litter box & sweep and mop storage closet","","Ruby",""
"sweep or vacuum front of house & mop","(entryway, dinning room, bedroom hall, hall leading to kitchen)","William",""
"clean & wipe down counters in pantry","","William",""
"pick up area by garage door & vacuum out drawer","","William",""
"clean, dust & straighten area on top of & around Daisy's crate & console bench under window","","William",""
